GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301701279,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,043,043,04,1,2.8,2,1,2,-2.98507462686567,0,,,,,,,,4,"Bondi Beach, New South Wales, Australia",AS,AS02,5114,-33.8902,151.276,-1560360,4,"Bondi Beach, New South Wales, Australia",AS,AS02,5114,-33.8902,151.276,-1560360,20260430013000,https://www.dailymail.com/news/article-15777753/The-Bondi-terror-attack-NOT-stopped-royal-commission-interim-report-finds-14-recommendations-change.html
1301701280,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,043,043,04,1,2.8,4,1,4,-2.98507462686567,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Bondi Beach, New South Wales, Australia",AS,AS02,5114,-33.8902,151.276,-1560360,20260430013000,https://www.dailymail.com/news/article-15777753/The-Bondi-terror-attack-NOT-stopped-royal-commission-interim-report-finds-14-recommendations-change.html
1301701281,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,051,051,05,1,3.4,8,1,8,0.77669902912621,0,,,,,,,,4,"Michelago, New South Wales, Australia",AS,AS02,4940,-35.7167,149.167,-1587220,4,"Michelago, New South Wales, Australia",AS,AS02,4940,-35.7167,149.167,-1587220,20260430013000,https://www.dailymail.com/news/article-15774419/Michelago-General-Store-cafe-owner-defends-staff.html
1301701282,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,1123,112,11,3,-2.0,3,1,3,-8.53658536585363,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701283,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,173,173,17,4,-5.0,1,1,1,-8.53658536585363,0,,,,,,,,4,"Bungonia, New South Wales, Australia",AS,AS02,154641,-34.85,149.95,-1562887,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701284,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,173,173,17,4,-5.0,4,1,3,-8.53658536585363,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701285,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,SYDNEY,AUS,,,,,,,,1,173,173,17,4,-5.0,3,1,3,-8.53658536585363,0,,,,,,,,4,"Silverwater, New South Wales, Australia",AS,AS02,5096,-33.104,151.564,11430694,4,"Silverwater, New South Wales, Australia",AS,AS02,5096,-33.104,151.564,11430694,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701286,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,SYDNEY,AUS,,,,,,,,1,190,190,19,4,-10.0,10,1,10,-4.34782608695652,0,,,,,,,,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,20260430013000,https://www.muswellbrookchronicle.com.au/story/9236313/young-children-who-died-in-tragic-house-fire-identified/
1301701287,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,190,190,19,4,-10.0,3,1,3,-8.53658536585363,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701288,20260430,202604,2026,2026.3288,,,,,,,,,,,BHR,BAHRAIN,BHR,,,,,,,,1,043,043,04,1,2.8,4,1,4,6.36042402826855,0,,,,,,,,4,"Manama, Al Manamah, Bahrain",BA,BA02,25307,26.2361,50.5831,-784833,4,"Manama, Al Manamah, Bahrain",BA,BA02,25307,26.2361,50.5831,-784833,20260430013000,https://www.gdnonline.com:443/Details/1393180/Events-highlighting-Bahrain%E2%80%99s-commitment-to-peace-lined-up-
