GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301702735,20260430,202604,2026,2026.3288,USA,COLUMBUS,USA,,,,,,,,CVL,VOTER,,,,,,CVL,,,1,091,091,09,2,-2.0,5,1,5,-2.22575516693164,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/dhs-confirms-voter-fraud-investigation-requesting-dozens-of-franklin-county-voters-info
1301702736,20260430,202604,2026,2026.3288,USA,OHIO,USA,,,,,,,,CVL,VOTER,,,,,,CVL,,,1,120,120,12,3,-4.0,2,1,2,-2.22575516693164,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/dhs-confirms-voter-fraud-investigation-requesting-dozens-of-franklin-county-voters-info
1301702737,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,CVL,SETTLEMENT,,,,,,CVL,,,0,190,190,19,4,-10.0,4,1,4,-4.24528301886792,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,20260430013000,https://www.ksby.com/lompoc-valley/elon-musk-gets-an-apology-from-california-regulators-as-a-spacex-lawsuit-is-settled
1301702738,20260430,202604,2026,2026.3288,USA,VIRGINIA,USA,,,,,,,,CVL,VOTER,,,,,,CVL,,,1,190,190,19,4,-10.0,8,1,8,-5.17241379310345,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20260430013000,https://www.rawstory.com/angie-nixon-florida-redistricting/
1301702739,20260430,202604,2026,2026.3288,USA,TEXAS,USA,,,,,,,,CVLEDU,COMMUNITY,,,,,,CVL,EDU,,1,071,071,07,2,7.4,7,1,7,6.14886731391586,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20260430013000,https://www.kcentv.com/article/news/local/mclennan-community-college-new-scholarship-backed-by-magnolia/500-e44722a9-e33b-4784-b450-dd069c175f46
1301702740,20260430,202604,2026,2026.3288,USA,AMERICAN,USA,,,,,,,,DEU,GERMANY,DEU,,,,,,,,0,010,010,01,1,0.0,1,1,1,-2.24274406332453,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20260430013000,https://www.thedailybeast.com/petty-trump-throws-tantrum-after-being-humiliated-by-friedrich-merz/
1301702741,20260430,202604,2026,2026.3288,USA,AMERICAN,USA,,,,,,,,DEU,GERMANY,DEU,,,,,,,,0,010,010,01,1,0.0,1,1,1,-2.24274406332453,1,Canada,CA,CA,,60,-96,CA,4,"Marsberg, Nordrhein-Westfalen, Germany",GM,GM07,40698,51.45,8.85,-1823633,4,"Marsberg, Nordrhein-Westfalen, Germany",GM,GM07,40698,51.45,8.85,-1823633,20260430013000,https://www.thedailybeast.com/petty-trump-throws-tantrum-after-being-humiliated-by-friedrich-merz/
1301702742,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,0,013,013,01,1,0.4,4,1,4,-0.96818810511757,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20260430013000,https://www.wweek.com/news/schools/2026/04/29/portland-school-board-again-closes-door-on-local-school-foundations/
1301702743,20260430,202604,2026,2026.3288,USA,CALIFORNIA,USA,,,,,,,,EDU,STUDENT,,,,,,EDU,,,1,020,020,02,1,3.0,10,1,10,-0.10482180293501,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,20260430013000,https://cityonahillpress.com/2026/04/29/a-seat-at-the-table-students-advocate-for-representation-on-board-of-regents/
1301702744,20260430,202604,2026,2026.3288,USA,PORTLAND,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,0231,023,02,1,3.4,10,1,10,-0.96818810511757,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20260430013000,https://www.wweek.com/news/schools/2026/04/29/portland-school-board-again-closes-door-on-local-school-foundations/
1301702745,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,UNIVERSITY,,,,,,EDU,,,1,036,036,03,1,4.0,2,1,2,3.98860398860398,3,"Fordham University, New York, United States",US,USNY,NY005,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,20260430013000,https://www.wbrc.com/2026/04/29/woodlawn-high-school-valedictorian-earns-33-million-scholarship-offers/
1301702746,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,UNIVERSITY,,,,,,EDU,,,1,036,036,03,1,4.0,2,1,2,3.98860398860398,3,"Woodlawn, New York, United States",US,USNY,NY005,40.8982,-73.8674,971661,3,"Woodlawn, New York, United States",US,USNY,NY005,40.8982,-73.8674,971661,3,"Woodlawn, New York, United States",US,USNY,NY005,40.8982,-73.8674,971661,20260430013000,https://www.wbrc.com/2026/04/29/woodlawn-high-school-valedictorian-earns-33-million-scholarship-offers/
1301702747,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,PROFESSOR,,,,,,EDU,,,0,046,046,04,1,7.0,4,1,4,0.41899441340782,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,,37.7749,-122.419,277593,20260430013000,https://www.bendsource.com/news/localnews/counterculture-author-to-give-bend-book-talk-on-rise-of-rolling-stone/
1301702748,20260430,202604,2026,2026.3288,USA,OHIO,USA,,,,,,,,EDU,UNIVERSITY,,,,,,EDU,,,1,046,046,04,1,7.0,1,1,1,-1.70212765957446,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,3,"Kent State University, Ohio, United States",US,USOH,,40.8667,-81.4387,1061140,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/kent-state-president-takes-aim-at-ramaswamys-ohio-university-consolidation-plan
1301702749,20260430,202604,2026,2026.3288,USA,OHIO,USA,,,,,,,,EDU,UNIVERSITY,,,,,,EDU,,,1,046,046,04,1,7.0,1,1,1,-1.70212765957446,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/kent-state-president-takes-aim-at-ramaswamys-ohio-university-consolidation-plan
1301702750,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,COLLEGE,,,,,,EDU,,,0,051,051,05,1,3.4,4,1,4,3.98860398860398,3,"Fordham University, New York, United States",US,USNY,NY005,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,20260430013000,https://www.wbrc.com/2026/04/29/woodlawn-high-school-valedictorian-earns-33-million-scholarship-offers/
1301702751,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,STUDENT,,,,,,EDU,,,0,070,070,07,2,7.0,1,1,1,3.98860398860398,3,"Fordham University, New York, United States",US,USNY,NY005,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,3,"Fordham University, New York, United States",US,USNY,,40.8612,-73.886,950377,20260430013000,https://www.wbrc.com/2026/04/29/woodlawn-high-school-valedictorian-earns-33-million-scholarship-offers/
1301702752,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,STUDENT,,,,,,EDU,,,0,070,070,07,2,7.0,1,1,1,3.98860398860398,3,"Fordham University, New York, United States",US,USNY,NY005,40.8612,-73.886,950377,3,"Woodlawn, New York, United States",US,USNY,NY005,40.8982,-73.8674,971661,3,"Woodlawn, New York, United States",US,USNY,NY005,40.8982,-73.8674,971661,20260430013000,https://www.wbrc.com/2026/04/29/woodlawn-high-school-valedictorian-earns-33-million-scholarship-offers/
1301702753,20260430,202604,2026,2026.3288,USA,PORTLAND,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,071,071,07,2,7.4,10,1,10,-0.96818810511757,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20260430013000,https://www.wweek.com/news/schools/2026/04/29/portland-school-board-again-closes-door-on-local-school-foundations/
1301702754,20260430,202604,2026,2026.3288,USA,PORTLAND,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,120,120,12,3,-4.0,10,1,10,-0.96818810511757,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20260430013000,https://www.wweek.com/news/schools/2026/04/29/portland-school-board-again-closes-door-on-local-school-foundations/
1301702755,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,160,160,16,4,-4.0,2,1,2,-2.7190332326284,3,"Greenville, South Carolina, United States",US,USSC,SC045,34.8526,-82.394,1245842,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,3,"Greenville, South Carolina, United States",US,USSC,SC045,34.8526,-82.394,1245842,20260430013000,https://www.yahoo.com/news/articles/scsu-rescinds-lt-gov-evettes-004213942.html
1301702756,20260430,202604,2026,2026.3288,USA,SOUTH CAROLINA,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,160,160,16,4,-4.0,6,1,6,-2.7190332326284,3,"Greenville, South Carolina, United States",US,USSC,SC045,34.8526,-82.394,1245842,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,20260430013000,https://www.yahoo.com/news/articles/scsu-rescinds-lt-gov-evettes-004213942.html
1301702757,20260430,202604,2026,2026.3288,USA,SOUTH CAROLINA,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,160,160,16,4,-4.0,2,1,2,-2.7190332326284,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,2,"South Carolina, United States",US,USSC,,33.8191,-80.9066,SC,20260430013000,https://www.yahoo.com/news/articles/scsu-rescinds-lt-gov-evettes-004213942.html
1301702758,20260430,202604,2026,2026.3288,USA,AUSTIN,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,1712,171,17,4,-9.2,5,1,5,-1.97628458498023,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260430013000,https://www.wgal.com/article/harrisburg-city-council-68-million-budget-william-penn-high-school-demolition/71167226
1301702759,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,ELI,ACTOR,,,,,,ELI,,,1,051,051,05,1,3.4,1,1,1,0.48465266558966,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20260430013000,https://nypost.com/2026/04/29/opinion/the-contest-la-needs-this-november/
1301702760,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,ELI,ACTOR,,,,,,ELI,,,1,173,173,17,4,-5.0,1,1,1,0.48465266558966,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,2,"California, United States",US,USCA,,36.17,-119.746,CA,20260430013000,https://nypost.com/2026/04/29/opinion/the-contest-la-needs-this-november/
1301702761,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,FRA,ORLEANS,FRA,,,,,,,,0,173,173,17,4,-5.0,4,1,4,-7.32673267326732,2,"Louisiana, United States",US,USLA,,31.1801,-91.8749,LA,3,"Orleans Parish, Louisiana, United States",US,USLA,,30.0335,-89.9501,558113,3,"Orleans Parish, Louisiana, United States",US,USLA,,30.0335,-89.9501,558113,20260430013000,https://www.knoe.com/2026/04/29/outgoing-orleans-parish-sheriff-susan-hutson-aide-indicted-malfeasance-obstruction-charges/
1301702762,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,012,012,01,1,-0.4,4,1,4,-6.09357997823722,1,United States,US,US,,39.828175,-98.5795,US,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,1,United States,US,US,,39.828175,-98.5795,US,20260430013000,https://www.sbs.com.au/news/article/jewish-men-stabbed-london/dypueb14y
1301702763,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,2,1,2,-1.54929577464789,3,"Albemarle County, Virginia, United States",US,USVA,VA003,38.0335,-78.5497,1675170,1,United Kingdom,UK,UK,,54,-4,UK,3,"Lynchburg, Virginia, United States",US,USVA,VA680,37.4138,-79.1423,1479007,20260430013000,https://www.wvtf.org/news/2026-04-29/new-marker-recalls-jeffersons-narrow-escape-from-the-british
1301702764,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,2,1,2,-1.54929577464789,3,"Albemarle County, Virginia, United States",US,USVA,VA003,38.0335,-78.5497,1675170,1,United Kingdom,UK,UK,,54,-4,UK,3,"Albemarle County, Virginia, United States",US,USVA,,38.0335,-78.5497,1675170,20260430013000,https://www.wvtf.org/news/2026-04-29/new-marker-recalls-jeffersons-narrow-escape-from-the-british
1301702765,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,110,110,11,3,-2.0,2,1,2,-6.09357997823722,1,United States,US,US,,39.828175,-98.5795,US,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,20260430013000,https://www.sbs.com.au/news/article/jewish-men-stabbed-london/dypueb14y
1301702766,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,110,110,11,3,-2.0,2,1,2,-6.09357997823722,1,United States,US,US,,39.828175,-98.5795,US,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,1,United States,US,US,,39.828175,-98.5795,US,20260430013000,https://www.sbs.com.au/news/article/jewish-men-stabbed-london/dypueb14y
1301702767,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,BRITISH,GBR,,,,,,,,1,138,138,13,3,-7.0,2,1,2,-1.54929577464789,3,"Richmond, Virginia, United States",US,USVA,VA760,37.5538,-77.4603,1499957,3,"Richmond, Virginia, United States",US,USVA,VA760,37.5538,-77.4603,1499957,3,"Richmond, Virginia, United States",US,USVA,VA760,37.5538,-77.4603,1499957,20260430013000,https://www.wvtf.org/news/2026-04-29/new-marker-recalls-jeffersons-narrow-escape-from-the-british
1301702768,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GBR,BRITISH,GBR,,,,,,,,1,138,138,13,3,-7.0,2,1,2,-1.54929577464789,3,"Richmond, Virginia, United States",US,USVA,VA760,37.5538,-77.4603,1499957,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,20260430013000,https://www.wvtf.org/news/2026-04-29/new-marker-recalls-jeffersons-narrow-escape-from-the-british
1301702769,20260430,202604,2026,2026.3288,USA,BOSTON,USA,,,,,,,,GBR,BRITISH,GBR,,,,,,,,1,138,138,13,3,-7.0,6,1,6,-1.54929577464789,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,20260430013000,https://www.wvtf.org/news/2026-04-29/new-marker-recalls-jeffersons-narrow-escape-from-the-british
1301702770,20260430,202604,2026,2026.3288,USA,VIRGINIA,USA,,,,,,,,GOV,GOVERNOR GENERAL,,,,,,GOV,,,0,010,010,01,1,0.0,8,1,8,-1.48883374689827,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,20260430013000,https://www.muswellbrookchronicle.com.au/story/9236247/bondi-probe-urges-unified-gun-laws-tighter-security/
1301702771,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GOV,KING,,,,,,GOV,,,1,011,011,01,1,-0.1,2,2,2,0,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,1,India,IN,IN,,20,77,IN,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260430013000,https://mymixfm.com/2026/04/29/new-york-mayor-mamdani-encourages-king-charles-to-return-koh-i-noor-diamond/
1301702772,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GOV,KING,,,,,,GOV,,,1,011,011,01,1,-0.1,2,2,2,0,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260430013000,https://mymixfm.com/2026/04/29/new-york-mayor-mamdani-encourages-king-charles-to-return-koh-i-noor-diamond/
1301702773,20260430,202604,2026,2026.3288,USA,ALABAMA,USA,,,,,,,,GOV,CABINET,,,,,,GOV,,,0,013,013,01,1,0.4,7,1,7,-4.06824146981627,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,20260430013000,https://www.thedailybeast.com/pete-hegseth-blows-up-at-hearing-before-being-shut-up-by-republican-committee-chair/
1301702774,20260430,202604,2026,2026.3288,USA,NEW YORK,USA,,,,,,,,GOV,KING,,,,,,GOV,,,1,051,051,05,1,3.4,4,2,4,0,1,India,IN,IN,,20,77,IN,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,20260430013000,https://mymixfm.com/2026/04/29/new-york-mayor-mamdani-encourages-king-charles-to-return-koh-i-noor-diamond/
1301702775,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GOV,KING,,,,,,GOV,,,1,124,124,12,3,-4.0,2,2,2,0,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,1,India,IN,IN,,20,77,IN,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260430013000,https://mymixfm.com/2026/04/29/new-york-mayor-mamdani-encourages-king-charles-to-return-koh-i-noor-diamond/
1301702776,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,GOV,KING,,,,,,GOV,,,1,124,124,12,3,-4.0,2,2,2,0,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260430013000,https://mymixfm.com/2026/04/29/new-york-mayor-mamdani-encourages-king-charles-to-return-koh-i-noor-diamond/
1301702777,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,HLH,DOCTOR,,,,,,HLH,,,0,010,010,01,1,0.0,2,1,2,-4.32166301969365,2,"Delaware, United States",US,USDE,,39.3498,-75.5148,DE,2,"Delaware, United States",US,USDE,,39.3498,-75.5148,DE,2,"Delaware, United States",US,USDE,,39.3498,-75.5148,DE,20260430013000,https://ipwatchdog.com/2026/04/29/justices-voice-concern-upholding-cafcs-hikma-ruling-will-harm-generics-industry/
1301702778,20260430,202604,2026,2026.3288,USA,CINCINNATI,USA,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,1,043,043,04,1,2.8,8,1,8,-4.48430493273542,3,"Cincinnati, Ohio, United States",US,USOH,OH061,39.162,-84.4569,1066650,3,"Cincinnati, Ohio, United States",US,USOH,OH061,39.162,-84.4569,1066650,3,"Cincinnati, Ohio, United States",US,USOH,OH061,39.162,-84.4569,1066650,20260430013000,https://local12.com/news/local/investigators-working-determine-cause-fatal-newport-fire-killed-two-boys-aaden-neice-rykar-haggard-red-cross-investigation-cincinnati-local-12-wkrc
1301702779,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IGOBUSOPC,OPEC,,OPC,,,,IGO,BUS,,0,051,051,05,1,3.4,2,1,2,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702780,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IGOBUSOPC,OPEC,,OPC,,,,IGO,BUS,,0,051,051,05,1,3.4,2,1,2,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,Pakistan,PK,PK,,30,70,PK,4,"Torah, Samangan, Afghanistan",AF,AF32,100023,35.8887,67.1741,-3395208,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702781,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,010,010,01,1,0.0,2,1,2,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702782,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,013,013,01,1,0.4,2,1,2,-4.06824146981627,2,"Alabama, United States",US,USAL,,32.799,-86.8073,AL,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://www.thedailybeast.com/pete-hegseth-blows-up-at-hearing-before-being-shut-up-by-republican-committee-chair/
1301702783,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,014,014,01,1,0.0,2,1,2,-4.82697817941371,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702784,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,020,020,02,1,3.0,2,1,2,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Iranshahr, Sistan va Baluchestan, Iran",IR,IR04,40976,27.2024,60.6848,-3067262,4,"Iranshahr, Sistan va Baluchestan, Iran",IR,IR04,40976,27.2024,60.6848,-3067262,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702785,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,020,020,02,1,3.0,2,1,2,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702786,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,020,020,02,1,3.0,1,1,1,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,4,"Minab, Sistan va Baluchestan, Iran",IR,IR04,41051,25.7893,61.1025,293743,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
1301702787,20260430,202604,2026,2026.3288,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,020,020,02,1,3.0,1,1,1,-4.82697817941371,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260430013000,https://www.thehour.com/business/article/the-latest-talks-to-end-the-war-in-iran-stall-as-22231814.php
