GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1322785700,20260913,202609,2026,2026.6932,,,,,,,,,,,BUS,COMPANIES,,,,,,BUS,,,1,120,120,12,3,-4.0,10,1,10,-0.486618004866179,0,,,,,,,,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260913010000,https://www.smh.com.au/business/companies/top-tech-executives-call-for-slowing-of-ai-s-development-20260913-p60wvq.html
1322785701,20260913,202609,2026,2026.6932,,,,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,042,042,04,1,1.9,6,1,6,6.33484162895928,0,,,,,,,,4,"Yorkton, Saskatchewan, Canada",CA,CA11,154724,51.2167,-102.467,-576314,4,"Yorkton, Saskatchewan, Canada",CA,CA11,154724,51.2167,-102.467,-576314,20260913010000,https://www.gx94radio.com/2026/09/12/culture-days-returns-to-yorkton-with-arts-culture-and-community-connections/
1322785702,20260913,202609,2026,2026.6932,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,046,046,04,1,7.0,3,1,3,-0.87976539589443,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260913010000,https://www.dailymail.com/debate/article-16126439/LIBBY-PURVES-car-crash-interview-Kemi-proved-point.html
1322785703,20260913,202609,2026,2026.6932,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,090,090,09,2,-2.0,3,1,3,-0.87976539589443,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260913010000,https://www.dailymail.com/debate/article-16126439/LIBBY-PURVES-car-crash-interview-Kemi-proved-point.html
1322785704,20260913,202609,2026,2026.6932,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,173,173,17,4,-5.0,3,1,3,-0.367647058823531,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20260913010000,https://www.nbcsandiego.com/news/national-international/police-arrests-tasia-fortune-death-mississippi/4072924/
1322785705,20260913,202609,2026,2026.6932,,,,,,,,,,,CVL,SCIENTIST,,,,,,CVL,,,1,043,043,04,1,2.8,10,1,10,-1.94931773879143,0,,,,,,,,3,"Oregon State University, Oregon, United States",US,USOR,,44.5643,-123.275,1147267,3,"Oregon State University, Oregon, United States",US,USOR,,44.5643,-123.275,1147267,20260913010000,https://www.klcc.org/environment/2026-09-12/scientists-gathering-in-newport-say-gray-whales-wont-go-extinct-but-declining-numbers-are-a-warning
1322785706,20260913,202609,2026,2026.6932,,,,,,,,,,,GOV,MINIST OF HOUSING,,,,,,GOV,,,1,043,043,04,1,2.8,1,1,1,3.54938271604939,0,,,,,,,,4,"Agada, Nigeria (general), Nigeria",NI,NI00,191234,7.38333,3,-1997612,4,"Agada, Nigeria (general), Nigeria",NI,NI00,191234,7.38333,3,-1997612,20260913010000,https://leadership.ng/female-architects-seek-30-housing-allocation-for-women-vulnerable-nigerians/
1322785707,20260913,202609,2026,2026.6932,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,1,043,043,04,1,2.8,10,1,10,-8.71794871794871,0,,,,,,,,3,"Chula Vista, California, United States",US,USCA,,32.6401,-117.084,1660481,3,"Chula Vista, California, United States",US,USCA,,32.6401,-117.084,1660481,20260913010000,https://www.nbcsandiego.com/news/local/suspected-gang-shooting-in-nestor-injures-two-men/4072966/
1322785708,20260913,202609,2026,2026.6932,,,,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,1123,112,11,3,-2.0,2,1,2,-0.33222591362126,0,,,,,,,,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260913010000,https://www.middleeasteye.net/live-blog/live-blog-update/naza-director-palestinian-journalists-have-document-gaza-truth-first-day
1322785709,20260913,202609,2026,2026.6932,,,,,,,,,,,ITA,SICILY,ITA,,,,,,,,0,043,043,04,1,2.8,3,1,3,3.36374002280502,0,,,,,,,,1,Netherlands,NL,NL,,52.5,5.75,NL,1,Netherlands,NL,NL,,52.5,5.75,NL,20260913010000,https://www.thedailymeal.com/2252775/german-candies-next-shopping-trip/
1322785710,20260913,202609,2026,2026.6932,,,,,,,,,,,JUD,JUDGE,,,,,,JUD,,,1,014,014,01,1,0.0,1,1,1,0.14534883720931,0,,,,,,,,3,"Harlingen, Texas, United States",US,USTX,TX061,26.1906,-97.6961,1337354,3,"Harlingen, Texas, United States",US,USTX,TX061,26.1906,-97.6961,1337354,20260913010000,https://www.krgv.com/news/concerns-arise-over-data-center-s-water-and-power-usage-in-cameron-county/
1322785711,20260913,202609,2026,2026.6932,,,,,,,,,,,MIL,MILITARY,,,,,,MIL,,,1,043,043,04,1,2.8,10,1,10,3.65853658536585,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260913010000,https://13wham.com/news/local/gallery-military-and-first-responder-appreciation-night-caledonia-livingston-county-limerock-speedway-first-responders-racing
1322785712,20260913,202609,2026,2026.6932,,,,,,,,,,,MYS,MALAYSIA,MYS,,,,,,,,0,043,043,04,1,2.8,2,1,2,-2.13675213675214,0,,,,,,,,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,18585,3.16667,101.7,-2403010,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,18585,3.16667,101.7,-2403010,20260913010000,https://www.thestar.com.my/news/nation/2026/09/13/talks-underway-on-dna-matching
1322785713,20260913,202609,2026,2026.6932,,,,,,,,,,,MYS,MALAYSIAN,MYS,,,,,,,,1,046,046,04,1,7.0,2,1,2,-2.13675213675214,0,,,,,,,,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,18585,3.16667,101.7,-2403010,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,18585,3.16667,101.7,-2403010,20260913010000,https://www.thestar.com.my/news/nation/2026/09/13/talks-underway-on-dna-matching
